COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,COLUMN_DEFAULT
id,int,,NO,
document_number,nvarchar,100,YES,
eo_number,nvarchar,50,NO,
title,nvarchar,500,NO,
summary,nvarchar,-1,YES,
signing_date,date,,YES,
publication_date,date,,YES,
citation,nvarchar,200,YES,
presidential_document_type,nvarchar,100,YES,
category,nvarchar,100,YES,
html_url,nvarchar,500,YES,
pdf_url,nvarchar,500,YES,
trump_2025_url,nvarchar,500,YES,
ai_summary,nvarchar,-1,YES,
ai_executive_summary,nvarchar,-1,YES,
ai_key_points,nvarchar,-1,YES,
ai_talking_points,nvarchar,-1,YES,
ai_business_impact,nvarchar,-1,YES,
ai_potential_impact,nvarchar,-1,YES,
ai_version,nvarchar,100,YES,
source,nvarchar,100,YES,
raw_data_available,bit,,YES,((0))
processing_status,nvarchar,50,YES,('pending')
error_message,nvarchar,-1,YES,
created_at,datetime2,,YES,(getdate())
last_updated,datetime2,,YES,(getdate())
last_scraped_at,datetime2,,YES,
content,nvarchar,-1,YES,
tags,nvarchar,500,YES,
ai_analysis,nvarchar,-1,YES,
reviewed,bit,,NO,((0))
is_new,bit,,YES,((0))
first_viewed_at,datetime,,YES,
